References,Value,Footprint,LCSC,Quantity
"C1, C2",10nF,CAPC10555_55N_KEM,C650944,2
"C3, C4",10uF,CAP_GRM155R61A106ME11_MUR,C408132,2
C5,470uF,CAP_YX_10X16_RUB,C338196,1
"R4, R5, R6, R8, R9, R11, R12, R14, R15, R17, R18, R20, R21, R23, R24, R26, R27, R29, R30, R32, R33, R34, R35, R37, R38, R39, R40, R41, R43",SMD-RES-10K-5_-1__0402_,R0402,C319934,29
"R2, R3, R7, R10, R13, R16, R19, R22, R25, R28, R31, R36, R44",330,RESC1005X40N,C517531,13
R1,120ohm,RES_ERJPA2F1200X,C102779,1
R42,1k,RC0402N_YAG,C105637,1
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12",1N4007W-T,SODFL3818X130N,C328592,12
"U7, U32",AQY212EHAX,Panasonic_APV-AQY_SSOP-4_4.45x2.65mm_P1.27mm,C29276,2
U19,ISOW1412DFM,DFM0020A-IPC_A,C5216548,1
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED13",5988A10107F,LED_5988A10107F_DIA,C264407,12
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12",2N7002NXAKR,SOT95P230X110-3N,C414015,12
"LED12, LED14, LED15",SZYY0402YG,LED_S73240_WRE,C434449,3
"J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15",6.91E+11,6.91E+11,C61791,13
"J16, J17, J18",1844223,CONN_1844223_PXC,C5244104,3
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,C35165,1
J2,G800W306018EU,CONN02_G800_5P08X2P5_AMP,C5360898,1
